id,code,name,description,is_active,phone_code,currency_code,currency_symbol,created_at,updated_at
15,AUS,Australia,,1,61,AUD,$,2026-05-15 19:48:35,2026-05-15 19:53:14
16,CAD,Canada,,1,1,CAD,$,2026-05-15 19:53:52,2026-05-15 19:53:52
1,IND,India,Indian Subcontinent,1,91,INR,₹,2026-04-14 17:38:51,2026-05-15 20:00:49
17,KEN,Kenya,,1,254,KES,Sh,2026-05-15 19:54:16,2026-05-15 19:54:16
6,NZL,New Zealand,Newzeland,1,64,NZD,$,2026-04-14 17:38:51,2026-05-15 19:56:17
2,USA,The United States of America,united states of america,1,1,USD,$,2026-04-14 17:38:51,2026-05-15 20:02:33
8,UGN,UGANDA,UGANDA,1,256,UGX,Sh,2026-04-14 17:38:51,2026-05-15 19:57:25
3,UAE,United Arab Emirates,United Arab Emirates,1,971,AED,د.إ,2026-04-14 17:38:51,2026-05-15 19:57:10
4,UK,United Kingdom,,1,44,GBP,£,2026-04-14 17:38:51,2026-05-15 19:54:49
