id,user,level,departments,is_active
39,operator,1,"AVD,ACC,AP,ASP,AMV,BNAVD,BNIT,BNMK,BNSK,BPA,BN,CHT,Core,GA,GSD,GGG,GLS,FDS,BGG,HRD,HOS,ITD,INS,JSV,KTH,LGL,MMD,MVK,MK,NAMVK,NASPK,NRM,NRM-Abroad,PLN,SBS,STK,SHY,SK,SSP,SPK,SSD,SC,STD,SDC,TRD,UMK,VDK,VHN,WEB",1
40,mksabhya,2,BN,1
44,hns,2,AVD,1
41,mksant,4,BN,1
45,pps,4,AVD,1
42,mukhyasant,5,"AVD,ACC,AP,ASP,AMV,BNAVD,BNIT,BNMK,BNSK,BPA,BN,CHT,Core,GA,GSD,GGG,GLS,FDS,BGG,HRD,HOS,ITD,INS,JSV,KTH,LGL,MMD,MVK,MK,NAMVK,NASPK,NRM,NRM-Abroad,PLN,SBS,STK,SHY,SK,SSP,SPK,SSD,SC,STD,SDC,TRD,UMK,VDK,VHN,WEB",1
43,guruji,6,"AVD,ACC,AP,ASP,AMV,BNAVD,BNIT,BNMK,BNSK,BPA,BN,CHT,Core,GA,GSD,GGG,GLS,FDS,BGG,HRD,HOS,ITD,INS,JSV,KTH,LGL,MMD,MVK,MK,NAMVK,NASPK,NRM,NRM-Abroad,PLN,SBS,STK,SHY,SK,SSP,SPK,SSD,SC,STD,SDC,TRD,UMK,VDK,VHN,WEB",1
