id,country,code,name,description,is_active,created_at,updated_at
1,1,101,Ahmedabad Paschhim,,1,2026-04-14 17:39:07,2026-04-14 17:39:07
2,1,102,Ahmedabad Purv,,1,2026-04-14 17:39:07,2026-04-14 17:39:07
3,1,103,Baroda,,1,2026-04-14 17:39:07,2026-04-14 17:39:07
4,1,104,Bhavnagar,,1,2026-04-14 17:39:07,2026-04-14 17:39:07
16,2,NA,Cherryhill,,1,2026-04-26 14:58:02,2026-04-26 14:58:02
5,1,105,Gandhinagar,,1,2026-04-14 17:39:07,2026-04-14 17:39:07
6,1,106,Godhar,,1,2026-04-14 17:39:07,2026-04-14 17:39:07
7,1,107,Godhara,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
15,1,100,HO,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
8,1,108,Himmatnagar,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
9,1,109,Mehsana,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
10,1,110,Morbi,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
11,1,111,Mumbai,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
12,1,112,Rajkot,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
13,1,113,Surat,,1,2026-04-14 17:39:08,2026-04-14 17:39:08
14,1,114,Surendranagar,,0,2026-04-14 17:39:08,2026-06-21 01:04:02
